Team,FirstName,LastName,Nationality,Age,Team_Location,College,HighSchool,BirthState,State_Born,Experience,League,FullName,BirthCity,State
D.C. United Soccer Club,Jeremy,Garay,El Salvador,21,District of Columbia,,,,,,MLS,Jeremy Garay,,
D.C. United Soccer Club,Christopher,McVey,Sweden,27,District of Columbia,,,,,,MLS,Christopher McVey,,
D.C. United Soccer Club,Hayden,Sargis,United States,22,District of Columbia,,,,,,MLS,Hayden Sargis,,
D.C. United Soccer Club,Theodore,Ku-Dipietro,United States,22,District of Columbia,,,,,,MLS,Theodore KuDipietro,,
D.C. United Soccer Club,Lucas,Bartlett,United States,26,District of Columbia,,,,,,MLS,Lucas Bartlett,,
D.C. United Soccer Club,Jackson,Hopkins,United States,20,District of Columbia,,,,,,MLS,Jackson Hopkins,,
D.C. United Soccer Club,Matai,Akinmboni,United States,17,District of Columbia,,,,,,MLS,Matai Akinmboni,,
D.C. United Soccer Club,Kristian,Fletcher,United States,18,District of Columbia,,,,,,MLS,Kristian Fletcher,,
D.C. United Soccer Club,Garrison,Tubbs,United States,22,District of Columbia,,,,,,MLS,Garrison Tubbs,,
D.C. United Soccer Club,Jacob,Murrell,United States,20,District of Columbia,,,,,,MLS,Jacob Murrell,,
D.C. United Soccer Club,Nathan,Crockford,United States,17,District of Columbia,,,,,,MLS,Nathan Crockford,,
D.C. United Soccer Club,William Conner ,Antley,United States,29,District of Columbia,,,,,,MLS,William Conner Antley,,
Football Club Dallas,Asier,Illarramendi Andonegi,Spain,34,Texas,,,,,,MLS,Asier Illarramendi Andonegi,,
Football Club Dallas,Omar Alejandro,Gonzalez,United States,35,Texas,,,,,,MLS,Omar Alejandro Gonzalez,,
Football Club Dallas,Sebastian Francisco,Lletget,United States,31,Texas,,,,,,MLS,Sebastian Francisco Lletget,,
Football Club Dallas,Paul Joseph,Arriola Hendricks,United States,29,Texas,,,,,,MLS,Paul Joseph Arriola Hendricks,,
Football Club Dallas,Paxton,Pomykal,United States,24,Texas,,,,,,MLS,Paxton Pomykal,,
Football Club Dallas,Maarten,Paes,Netherlands,26,Texas,,,,,,MLS,Maarten Paes,,
Football Club Dallas,Jesús David,Ferreira Castro,United States,23,Texas,,,,,,MLS,Jesús David Ferreira Castro,,
Football Club Dallas,Marco,Farfan,United States,25,Texas,,,,,,MLS,Marco Farfan,,
Football Club Dallas,Jimmy,Maurer,United States,35,Texas,,,,,,MLS,Jimmy Maurer,,
Football Club Dallas,Sebastien Uchechukwu,Ibeagha,United States,32,Texas,,,,,,MLS,Sebastien Uchechukwu Ibeagha,,
Football Club Dallas,Liam Scott,Fraser,Canada,26,Texas,,,,,,MLS,Liam Scott Fraser,,
Football Club Dallas,Emmanuel ,Twumasi,Ghana,27,Texas,,,,,,MLS,Emmanuel Twumasi,,
Football Club Dallas,Petar,Musa,Croatia,26,Texas,,,,,,MLS,Petar Musa,,
Football Club Dallas,Samuel ,Junqua,United States,27,Texas,,,,,,MLS,Samuel Junqua,,
Football Club Dallas,Alan Agustin,Velasco,Argentina,21,Texas,,,,,,MLS,Alan Agustin Velasco,,
Football Club Dallas,Dante,Sealy,United States,21,Texas,,,,,,MLS,Dante Sealy,,
Football Club Dallas,Nkosi,Tafari Burgess,United States,27,Texas,,,,,,MLS,Nkosi Tafari Burgess,,
Football Club Dallas,Eugene,Ansah,Ghana,29,Texas,,,,,,MLS,Eugene Ansah,,
Football Club Dallas,Geovane,de Jesus Rocha,Brazil,22,Texas,,,,,,MLS,Geovane de Jesus Rocha,,
Football Club Dallas,Enes,Sali,Romania,18,Texas,,,,,,MLS,Enes Sali,,
Football Club Dallas,Patrickson Luiggy,Delgado Villa,Ecuador,20,Texas,,,,,,MLS,Patrickson Luiggy Delgado Villa,,
Football Club Dallas,Isaiah ,Parker,United States,21,Texas,,,,,,MLS,Isaiah Parker,,
Football Club Dallas,Tsiki ,Ntsabeleng,South Africa,26,Texas,,,,,,MLS,Tsiki Ntsabeleng,,
Football Club Dallas,Carle-Fred ,Sainté,Haiti,21,Texas,,,,,,MLS,CarleFred Sainté,,
Football Club Dallas,Antonio Juan,Carrera Zarzar,United States,20,Texas,,,,,,MLS,Antonio Juan Carrera Zarzar,,
Football Club Dallas,Bernard,Kamungo,United States,22,Texas,,,,,,MLS,Bernard Kamungo,,
Football Club Dallas,Amet Ylber,Korça,United States,23,Texas,,,,,,MLS,Amet Ylber Korça,,
Football Club Dallas,Nolan,Norris,United States,19,Texas,,,,,,MLS,Nolan Norris,,
Football Club Dallas,Tarik,Scott,United States,19,Texas,,,,,,MLS,Tarik Scott,,
Football Club Dallas,Herbert,Endeley,United States,22,Texas,,,,,,MLS,Herbert Endeley,,
Football Club Dallas,Tomas Selso,Pondeca,United States,22,Texas,,,,,,MLS,Tomas Selso Pondeca,,
Football Club Dallas,Alejandro,Urzua,United States,18,Texas,,,,,,MLS,Alejandro Urzua,,
Football Club Dallas,Malik,Henry-Scott,United States,22,Texas,,,,,,MLS,Malik HenryScott,,
Football Club Dallas,Logan ,Farrington,United States,22,Texas,,,,,,MLS,Logan Farrington,,
Houston Dynamo,Bradley Shawn,Smith,Australia,30,Texas,,,,,,MLS,Bradley Shawn Smith,,
Houston Dynamo,Erik,Sviatchenko,Denmark,32,Texas,,,,,,MLS,Erik Sviatchenko,,
Houston Dynamo,Héctor Miguel,Herrera López,Mexico,34,Texas,,,,,,MLS,Héctor Miguel Herrera López,,
Houston Dynamo,Franco Nicolás,Escobar,Argentina,29,Texas,,,,,,MLS,Franco Nicolás Escobar,,
Houston Dynamo,Steve,Clark,United States,38,Texas,,,,,,MLS,Steve Clark,,
Houston Dynamo,Daniel,Steres,United States,33,Texas,,,,,,MLS,Daniel Steres,,
Houston Dynamo,Ján,Greguš,Slovakia,33,Texas,,,,,,MLS,Ján Greguš,,
Houston Dynamo,Jose Artur,de Lima Junior,Brazil,28,Texas,,,,,,MLS,Jose Artur de Lima Junior,,
Houston Dynamo,Andrew,Tarbell,United States,30,Texas,,,,,,MLS,Andrew Tarbell,,
Houston Dynamo,Latif,Blessing,Ghana,27,Texas,,,,,,MLS,Latif Blessing,,
Houston Dynamo,Amine,Bassi,France,26,Texas,,,,,,MLS,Amine Bassi,,
Houston Dynamo,Orrin McKinze,Gaines II,United States,26,Texas,,,,,,MLS,Orrin McKinze Gaines II,,
Houston Dynamo,Luís Alberto,Caicedo Mosquera,Colombia,28,Texas,,,,,,MLS,Luís Alberto Caicedo Mosquera,,
Houston Dynamo,Adalberto Eliécer,Carrasquilla Alcázar,Panama,25,Texas,,,,,,MLS,Adalberto Eliécer Carrasquilla Alcázar,,
Houston Dynamo,Carlos Sebastián,Ferreira Vidal,Paraguay,26,Texas,,,,,,MLS,Carlos Sebastián Ferreira Vidal,,
Houston Dynamo,Griffin ,Dorsey,United States,25,Texas,,,,,,MLS,Griffin Dorsey,,
Houston Dynamo,Tate ,Schmitt,United States,27,Texas,,,,,,MLS,Tate Schmitt,,
Houston Dynamo,Aliyu,Ibrahim,Nigeria,22,Texas,,,,,,MLS,Aliyu Ibrahim,,
Houston Dynamo,Ethan ,Bartlow,United States,24,Texas,,,,,,MLS,Ethan Bartlow,,
Houston Dynamo,Micael,dos Santos Silva,Brazil,23,Texas,,,,,,MLS,Micael dos Santos Silva,,
Houston Dynamo,Sebastian,Kowalczyk,Poland,25,Texas,,,,,,MLS,Sebastian Kowalczyk,,
Houston Dynamo,Xavier,Valdez,Dominican Republic,20,Texas,,,,,,MLS,Xavier Valdez,,
Houston Dynamo,Brooklyn,Raines,United States,19,Texas,,,,,,MLS,Brooklyn Raines,,
Houston Dynamo,Nelson,Quiñones,Colombia,21,Texas,,,,,,MLS,Nelson Quiñones,,
Houston Dynamo,Jefferson Laider,Valverde Arboleda,Ecuador,25,Texas,,,,,,MLS,Jefferson Laider Valverde Arboleda,,
Houston Dynamo,Gabriel,Segal,United States,23,Texas,,,,,,MLS,Gabriel Segal,,
Houston Dynamo,Diego,Gonzalez,United States,21,Texas,,,,,,MLS,Diego Gonzalez,,
Houston Dynamo,Kieran,Sargeant,United States,21,Texas,,,,,,MLS,Kieran Sargeant,,
Houston Dynamo,Obafemi,Awodesu,United States,23,Texas,,,,,,MLS,Obafemi Awodesu,,
Houston Dynamo,Stephen ,Annor Gyamfi,Ghana,,Texas,,,,,,MLS,Stephen Annor Gyamfi,,
Houston Dynamo,Ousmane,Sylla,Senegal,22,Texas,,,,,,MLS,Ousmane Sylla,,
Los Angeles Galaxy,Maya,Yoshida,Japan,35,California,,,,,,MLS,Maya Yoshida,,
Los Angeles Galaxy,José Martín,Cáceres Silva,Uruguay,37,California,,,,,,MLS,José Martín Cáceres Silva,,
Los Angeles Galaxy,Gastón,Brugman,Uruguay,31,California,,,,,,MLS,Gastón Brugman,,
Los Angeles Galaxy,Diego Santiago,Fagúndez Pepe,Uruguay,29,California,,,,,,MLS,Diego Santiago Fagúndez Pepe,,
Los Angeles Galaxy,John,McCarthy,United States,32,California,,,,,,MLS,John McCarthy,,
Los Angeles Galaxy,Marco Antonio,Delgado,United States,29,California,,,,,,MLS,Marco Antonio Delgado,,
Los Angeles Galaxy,Eriq Anthony,Zavaleta Vanney,El Salvador,31,California,,,,,,MLS,Eriq Anthony Zavaleta Vanney,,
Los Angeles Galaxy,Joseph,Paintsil,Ghana,26,California,,,,,,MLS,Joseph Paintsil,,
Los Angeles Galaxy,Dejan,Joveljić,Serbia,24,California,,,,,,MLS,Dejan Joveljić,,
Los Angeles Galaxy,Ricard,Puig Martí,Spain,24,California,,,,,,MLS,Ricard Puig Martí,,
